

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合








使用心得：颜色很正 手感也不错、关键是 搞活动很划算啊！满699减200。划着下来 跟免税店价格一样。还是不错的。不用出门 就能以 划算的价格买买买！ 希望以后有更划算的活动！,使用心得：物流飞快包装完好服务到位款式时尚非常满意,使用心得：比较正的红色，如果薄薄涂一层，颜色有那么一点点偏玫红，玫红接近正红色。，关闭口红盖时候，有吸铁石那感觉，自动就吸了。，应该是正品，管和膏体颜色都比较正的,使用心得：长草很久了，终于拔草了！,使用心得：作为生日礼物送人的 感觉还不错吧 物流速度很快 包装也不错 总体很满意 价格略贵,使用心得：味道很香，高大上，管身带磁性的，不会松动，之前纠结好久到底是选这个还是香奈儿，结果没让我失望，快递小哥也给力，点赞,使用心得：昨天下班前下单，没想到今天九点就到了。速度快，质量好，送女友老婆的好礼物！总之，物超所值。好评！,使用心得：其实我觉得女人都会想拥有一支正红的唇膏~唇釉不太适合我 就入手这支cc400~京东超快~相信京东~棒棒的,使用心得：可惜不是小胖丁，320入手，遗憾的没有入手小胖丁?,使用心得：一直都在京东买东西，各种东西，几乎天天买买买买，主要，方便，经济实惠，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，快递小哥张洪斌服务非常好，必须表扬

使用心得：很不错，送朋友，朋友用了说很好,使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：右边是368的手部试色。枚粉色。，还是白皮肤才能涂的颜色。，友情提醒该口红按压上面就直接拔出，千万不要旋转。不然会损坏口红顶部膏体。,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：好喜欢，到处都断货，终于买到了,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：母亲节给老妈买的，感觉棒棒哒，很高级，送了好多赠品,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：颜色超级好看，亮亮的粉色，荧光有一点点，但是并不明显，阳光下很亮眼！,使用心得：不错不错不错不错不错不错不错不错





使用心得：本来13号要出差，怕赶不及签收本来想退款的，没想到快递那么快。口红能扫描出产品信息，至于是不是正品本人比较粗心无法鉴别，只是感觉和以前在专柜买的一样好用，容易上色，不干挺滋润的，颜色也正，这样的和正品也没啥差别了。,使用心得：物流太慢了。但是收到的东西还不错，挺水润的，保湿很好，第一张照片上面是薄涂，下面是厚涂。第三张是强光下的，第四张是正常灯下的。查了二维码和条形码应该是真的。试了这款304以后感觉像YSL52（星星色）的加深款，只是涂起来，薄涂可以和星星色媲美！但是感觉304比较适合皮肤白的妹纸（本人感觉有些挑皮），超显气色，夏天薄涂，冬天厚涂，但是不管怎样涂都要做好唇部打底,使用心得：口红看着不错，包装也精美，希望用的好，挺好的第三方，发货也快，京东商城的推荐值得信赖,使用心得：非常适合哦，很喜欢呢，一次非常愉快的购物。,使用心得：不知是否正品，颜色还可以，客服回复很慢很慢。体验一次京东购物，这个物流慢的也是可以，不知道为什么说京东物流很好。照片供大家鉴定。,使用心得：很好！很满意！女朋友很喜欢！啦啦啦！,使用心得：卖家很贴心，因为急所以让他们加速，快递很给力,使用心得：东西不错，但是我不会分真假，就当买的是真的吧,使用心得：东西还不错，女朋友很喜欢,使用心得：快递很快，很满意，客服态度还不错





使用心得：真是喜欢的不得了！味道好闻，很滋润，颜色低调，大爱！,使用心得：收到了，非常满意！颜色很漂亮，喜欢！,使用心得：在丝芙兰买会放心一点，快递也很快，只用了一天就到了。，Givenchy这款首先外壳很好看啊，但也有一点笨重的感觉。，颜色买的是11号，喜欢这样的红色，比较适合黄皮。,使用心得：包装很新，口红听润的，还有快递很快,使用心得：之前在莎莎网买过9号色，活动二百出头，是想买16号色的，但是正规电商都没有这个色号；偶然在JD丝芙兰看到竟然有货，而且还搞活动499-100，于是就买了这只和同样到处断货的小粉皮，相当于各减了50。，16号用完应该会回购，小粉皮和9号都不会再回购。,使用心得：这款特别不好买，专柜等了很久都买不到，没想到幸福来的如此简单……正品！值得拥有！,使用心得：是正品，快递相对而言速度还不错。很喜欢。哈哈哈，淡淡的。中意它?,使用心得：很漂亮很精致，两支都还没有用，京东快递很给力，特别快就到,使用心得：情人节买给老婆的，结果晚到了一天。颜色挺好看的，太喜欢禁忌之吻的样式了，入了6号色，和Dior976颜色有点撞了，颜色偏粉，各种找图片看各种试色，但是图片参考真的会有色差我的天呐，下次最好还是到实体店试试色为好,使用心得：第二次买了，不敢在代购买怕买到假的，丝芙兰买至少可以放心是正品，包装完好，膏体也没有损坏，香香的很润，我唇色深显得红色淡淡的。物流有点慢。别在意我的花花睡衣。?
使用心得：正品，物流很快。,使用心得：很润，颜色比较淡，很适合夏天，比想象中的好像味很好闻,使用心得：挺好用的，非常好，非常棒，特别给力,使用心得：媳妇说不错颜色也很喜欢,使用心得：还设解放军队金额将,使用心得：很好很好好好,使用心得：很经典的口红?，不错?，很喜欢，物流很快,使用心得：不懂这个 所以不知道怎么样 是不是正品 不过评论都说是正品,使用心得：送女朋友的520礼物，还不错   她喜欢就好，我不懂的……,使用心得：给女朋友买的，挺好的。特别的美。
使用心得：口红有划痕，换的麻烦就算了吧！,使用心得：买来送给朋友的生日礼物，之前还知询了客服问几天能到谢谢她的奈心解答，看着颜色挺不错的，希望朋友会喜欢。,使用心得：感觉吧可以弄个小盒子包起来好看点，拿到拆开就这样,使用心得：东西不错，媳妇说是正品，快递也比较给力，送的盒子花掉了，有点小扁。但是总的来说不错,使用心得：宝贝已收到，和图片颜色相符，给妈妈买的，不知道是否是正品，不过颜色真的很艳，哈哈，本来妈妈想退，但是先在手上试了色，卖家说影响了二次销售，所以算了，适合年轻人，不过我妈说吃东西掉色,使用心得：很好用，用起来挺好的，颜色又好看。,使用心得：不错。东西是正品。一次买啦两只，，，我开口红的时候一不小心顶到啦，，好心疼????,使用心得：颜色很喜欢，小清新，东西也不错，老板贴心的送了礼盒和卡片。,使用心得：颜色很正啊，口红质感很好，相信是正品,使用心得：颜色很美 有淡淡香味 易上色  很显年轻 活泼的颜色 满意




使用心得：物流特别快，非常满意，这次出去玩用过很好用。,使用心得：颜色还不错，感觉还不错 质量不错！ 价格蛮实惠的！,使用心得：使用效果不错，价格也不贵，物流挺快的，继续光顾，满意,使用心得：润唇效果好嘴唇不干了保湿时间长价格也不贵好品牌还会来买,使用心得：颜色漂亮，滋润度很好，喜欢,使用心得：挺好的，很实用，价格实惠，值得购买,使用心得：嗯呵呵，不错，老婆很喜欢,使用心得：真的不错哦，你值得拥有,使用心得：物流很快 东西也很棒,使用心得：还可以吧 质量行







使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：包装盒是开的，产品没用，不知道好不好用。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！



使用心得：买来送给女朋友的，希望女朋友喜欢了。,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：很不错，一点都不干，颜色很正，涂抹后没有什么异物感,使用心得：颜色很好看 送给妈妈的生日礼物,使用心得：是正品，信赖京东的品质，大赞,使用心得：好评，女朋友非常开心。,使用心得：跟在专柜买的一样，很好。物流超级快，好评,使用心得：什么礼品盒子虚乌有的事人的就是装东西的袋子而已,使用心得：刚刚收到，从床上蹦起来跑了老远，老公买的，包装完好无损，打开有淡淡的香味

使用心得：是不错的，送朋友的，挺喜欢,使用心得：不错不错啊

使用心得：很显气质的一款正红色！到货就迫不及待的试了颜色[哈哈]很显白?，这支999没有YSL的方管01来的明亮，却多了一份内敛的气质！我特别喜欢红色系的?可以说我的口红10支里面8支是红色系列的！！！个人觉得正红色的唇膏还是化点妆会更美哟~，滋润度????，饱满度?????，持久度???，喜欢程度?????,使用心得：没有大红色的口红就等于没有口红是这样说的嘛嘿嘿嘿[嘿嘿]，这支显色度当然没的说 滋润度还可以 我基本不打底就是图片里的样子～有时候打底了就涂成咬唇～全涂之后用纸巾抿一下就是亚光效果 都挺喜欢的[害羞][害羞][害羞]，这款就是大红 我觉得不是正红 正红是更深更质感一点的那种吧[白眼] 今天穿了件Obey的卫衣 正好红色logo 就涂了999 其实不用很lady也可以涂红色[嘻嘻]，当然用大红色 牙黄不可以～脸黄不可以～不化妆不可以～，一只口红写这么多字我到底用什么在撑 哈哈哈哈,使用心得：亦舒的文章里有一句话说，女人的堕落是从高跟鞋开始的，我不否认这句话，但是我想说我的堕落则是从高跟鞋和口红开始的。不知何时，我的鞋跟越来越高越来越细，我的口红越来越多，颜色越来越趋向于大红色。今年大热的这款Dior 烈焰蓝金999#也成为我的新宠，轻轻涂上去，不会特别干，颜色纯正，人群中一眼便可记住你，如同热恋的颜色。同时红色口红可以提显肤色，打造好气质，哪怕不化妆，一只口红也足以让人为你心跳...,使用心得：老客户了、还是那么好，就不多说了,使用心得：效果真的棒，比预期还要好一些,使用心得：Dior烈焰蓝金080 主体来说 还是偏红的 很显活力 贼美！ 真的很喜欢迪奥的烈焰蓝金系列 滋润又显色 999 080这两个色号都是热门色号 真的不要错过了 太美了,使用心得：包装好   物流挺快  是新包装的迪奥,使用心得：颜色太漂亮了！绝对正品。颜色饱和度很不错的一款。很衬皮肤！不多说上图！强烈推荐！,使用心得：不错哦，买给老婆的情人节礼物，老婆很喜欢，很适合日常使用的颜色。,使用心得：不错不错，给女朋友的生日礼物。就是包装太不太好






使用心得：真是喜欢的不得了！味道好闻，很滋润，颜色低调，大爱！,使用心得：收到了，非常满意！颜色很漂亮，喜欢！,使用心得：在丝芙兰买会放心一点，快递也很快，只用了一天就到了。，Givenchy这款首先外壳很好看啊，但也有一点笨重的感觉。，颜色买的是11号，喜欢这样的红色，比较适合黄皮。,使用心得：包装很新，口红听润的，还有快递很快,使用心得：之前在莎莎网买过9号色，活动二百出头，是想买16号色的，但是正规电商都没有这个色号；偶然在JD丝芙兰看到竟然有货，而且还搞活动499-100，于是就买了这只和同样到处断货的小粉皮，相当于各减了50。，16号用完应该会回购，小粉皮和9号都不会再回购。,使用心得：这款特别不好买，专柜等了很久都买不到，没想到幸福来的如此简单……正品！值得拥有！,使用心得：是正品，快递相对而言速度还不错。很喜欢。哈哈哈，淡淡的。中意它?,使用心得：很漂亮很精致，两支都还没有用，京东快递很给力，特别快就到,使用心得：情人节买给老婆的，结果晚到了一天。颜色挺好看的，太喜欢禁忌之吻的样式了，入了6号色，和Dior976颜色有点撞了，颜色偏粉，各种找图片看各种试色，但是图片参考真的会有色差我的天呐，下次最好还是到实体店试试色为好,使用心得：第二次买了，不敢在代购买怕买到假的，丝芙兰买至少可以放心是正品，包装完好，膏体也没有损坏，香香的很润，我唇色深显得红色淡淡的。物流有点慢。别在意我的花花睡衣。?
使用心得：正品，物流很快。,使用心得：很润，颜色比较淡，很适合夏天，比想象中的好像味很好闻,使用心得：挺好用的，非常好，非常棒，特别给力,使用心得：媳妇说不错颜色也很喜欢,使用心得：还设解放军队金额将,使用心得：很好很好好好,使用心得：很经典的口红?，不错?，很喜欢，物流很快,使用心得：不懂这个 所以不知道怎么样 是不是正品 不过评论都说是正品,使用心得：送女朋友的520礼物，还不错   她喜欢就好，我不懂的……,使用心得：给女朋友买的，挺好的。特别的美。
使用心得：口红有划痕，换的麻烦就算了吧！,使用心得：买来送给朋友的生日礼物，之前还知询了客服问几天能到谢谢她的奈心解答，看着颜色挺不错的，希望朋友会喜欢。,使用心得：感觉吧可以弄个小盒子包起来好看点，拿到拆开就这样,使用心得：东西不错，媳妇说是正品，快递也比较给力，送的盒子花掉了，有点小扁。但是总的来说不错,使用心得：宝贝已收到，和图片颜色相符，给妈妈买的，不知道是否是正品，不过颜色真的很艳，哈哈，本来妈妈想退，但是先在手上试了色，卖家说影响了二次销售，所以算了，适合年轻人，不过我妈说吃东西掉色,使用心得：很好用，用起来挺好的，颜色又好看。,使用心得：不错。东西是正品。一次买啦两只，，，我开口红的时候一不小心顶到啦，，好心疼????,使用心得：颜色很喜欢，小清新，东西也不错，老板贴心的送了礼盒和卡片。,使用心得：颜色很正啊，口红质感很好，相信是正品,使用心得：颜色很美 有淡淡香味 易上色  很显年轻 活泼的颜色 满意




使用心得：物流特别快，非常满意，这次出去玩用过很好用。,使用心得：颜色还不错，感觉还不错 质量不错！ 价格蛮实惠的！,使用心得：使用效果不错，价格也不贵，物流挺快的，继续光顾，满意,使用心得：润唇效果好嘴唇不干了保湿时间长价格也不贵好品牌还会来买,使用心得：颜色漂亮，滋润度很好，喜欢,使用心得：挺好的，很实用，价格实惠，值得购买,使用心得：嗯呵呵，不错，老婆很喜欢,使用心得：真的不错哦，你值得拥有,使用心得：物流很快 东西也很棒,使用心得：还可以吧 质量行







使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：包装盒是开的，产品没用，不知道好不好用。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！



使用心得：买来送给女朋友的，希望女朋友喜欢了。,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：很不错，一点都不干，颜色很正，涂抹后没有什么异物感,使用心得：颜色很好看 送给妈妈的生日礼物,使用心得：是正品，信赖京东的品质，大赞,使用心得：好评，女朋友非常开心。,使用心得：跟在专柜买的一样，很好。物流超级快，好评,使用心得：什么礼品盒子虚乌有的事人的就是装东西的袋子而已,使用心得：刚刚收到，从床上蹦起来跑了老远，老公买的，包装完好无损，打开有淡淡的香味

使用心得：是不错的，送朋友的，挺喜欢,使用心得：不错不错啊

使用心得：很显气质的一款正红色！到货就迫不及待的试了颜色[哈哈]很显白?，这支999没有YSL的方管01来的明亮，却多了一份内敛的气质！我特别喜欢红色系的?可以说我的口红10支里面8支是红色系列的！！！个人觉得正红色的唇膏还是化点妆会更美哟~，滋润度????，饱满度?????，持久度???，喜欢程度?????,使用心得：没有大红色的口红就等于没有口红是这样说的嘛嘿嘿嘿[嘿嘿]，这支显色度当然没的说 滋润度还可以 我基本不打底就是图片里的样子～有时候打底了就涂成咬唇～全涂之后用纸巾抿一下就是亚光效果 都挺喜欢的[害羞][害羞][害羞]，这款就是大红 我觉得不是正红 正红是更深更质感一点的那种吧[白眼] 今天穿了件Obey的卫衣 正好红色logo 就涂了999 其实不用很lady也可以涂红色[嘻嘻]，当然用大红色 牙黄不可以～脸黄不可以～不化妆不可以～，一只口红写这么多字我到底用什么在撑 哈哈哈哈,使用心得：亦舒的文章里有一句话说，女人的堕落是从高跟鞋开始的，我不否认这句话，但是我想说我的堕落则是从高跟鞋和口红开始的。不知何时，我的鞋跟越来越高越来越细，我的口红越来越多，颜色越来越趋向于大红色。今年大热的这款Dior 烈焰蓝金999#也成为我的新宠，轻轻涂上去，不会特别干，颜色纯正，人群中一眼便可记住你，如同热恋的颜色。同时红色口红可以提显肤色，打造好气质，哪怕不化妆，一只口红也足以让人为你心跳...,使用心得：老客户了、还是那么好，就不多说了,使用心得：效果真的棒，比预期还要好一些,使用心得：Dior烈焰蓝金080 主体来说 还是偏红的 很显活力 贼美！ 真的很喜欢迪奥的烈焰蓝金系列 滋润又显色 999 080这两个色号都是热门色号 真的不要错过了 太美了,使用心得：包装好   物流挺快  是新包装的迪奥,使用心得：颜色太漂亮了！绝对正品。颜色饱和度很不错的一款。很衬皮肤！不多说上图！强烈推荐！,使用心得：不错哦，买给老婆的情人节礼物，老婆很喜欢，很适合日常使用的颜色。,使用心得：不错不错，给女朋友的生日礼物。就是包装太不太好

使用心得：好评 快递速度,使用心得：东西不错 老婆很喜欢,使用心得：没有用呢 不知道好不好,使用心得：假的，根本就转不回去，每次都要用嘴给顶回去。在专卖店买的就不会出现这个现象,使用心得：用起来很好  特别显白




使用心得：东西不错，有一点贵了，不过能接受。对于快递我受不了。虽然今天是2月14号你们比较忙。但也不能打电话不回吧！我打了好几个电话给快递员。一直没回音，就想等老婆下班送给她，硬是拖到吃晚饭。所以给快递一个中评！,使用心得：女朋友特别喜欢，颜色也非常好看,使用心得：现在才来评价，送给女朋友的，她说用着很好。,使用心得：好东西就要给好评，女朋友很喜欢,使用心得：快递没有想象中那么快,使用心得：好好好好好好好好好好,使用心得：超好看，和nars DV对比了一下，500更粉嫩一些，喜欢阿玛尼流畅的涂抹，很显色，而且不会显唇纹，即使嘴唇上有死皮也不会显出来，哑光质地真的很好看。最主要的是正品哦,使用心得：挺喜欢的，颜色好看哦！,使用心得：好评！！！！！,使用心得：朋友的女友很喜欢！！是正品！！！京东快递服务给力！！！！
使用心得：媳妇说不好用，颜色太淡,使用心得：比43号更衬肤色，不错,使用心得：给朋友买的 朋友很满意,使用心得：我感觉还是可以  我拆开研究了下才打开  嘿嘿  送人的,使用心得：虽然快递有点小失误，但总体上来看还可以，女朋友很喜欢,使用心得：物流超级快，质量也杠杠滴哦~,使用心得：早就想买了 没让我失望,使用心得：不错，发货速度挺快，应该是正品，比专卖店贵了一点，后来补发发票过来，这个不错！整体购物感觉不错,使用心得：口红虽然不知道怎么样，但是我很伤心。拿去送朋友朋友直接扔了她根本不在乎我,使用心得：啊哈，女朋友还是很喜欢的，包装也很漂亮。不错不错，下次换个号再买个。



使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：我挑了好几天，最终区确定兰蔻的164，橙色系，适合黄皮肤，纯色深，丝缎系可以遮住，而且我属于唇部皮肤比较干，用这个感觉挺好的。不拔干。,使用心得：很不错，送朋友，朋友用了说很好,使用心得：好喜欢，到处都断货，终于买到了,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：颜色超级好看，亮亮的粉色，荧光有一点点，但是并不明显，阳光下很亮眼！,使用心得：右边是368的手部试色。枚粉色。，还是白皮肤才能涂的颜色。，友情提醒该口红按压上面就直接拔出，千万不要旋转。不然会损坏口红顶部膏体。,使用心得：不错不错不错不错不错不错不错不错


使用心得：我家领导说特别好，反正我也不懂，她说好应该没错,使用心得：十分满意她很喜欢,使用心得：东西不错，物流速度快,使用心得：可以的，很不错,使用心得：…………………

使用心得：本来13号要出差，怕赶不及签收本来想退款的，没想到快递那么快。口红能扫描出产品信息，至于是不是正品本人比较粗心无法鉴别，只是感觉和以前在专柜买的一样好用，容易上色，不干挺滋润的，颜色也正，这样的和正品也没啥差别了。,使用心得：宝贝收到了，已验证，是正品，颜色也非常喜欢，就是物流有点慢，不过等这么长时间也值了，一直很信赖京东，给卖家一个大大的赞，五星！全部五星！????????,使用心得：物流太慢了。但是收到的东西还不错，挺水润的，保湿很好，第一张照片上面是薄涂，下面是厚涂。第三张是强光下的，第四张是正常灯下的。查了二维码和条形码应该是真的。试了这款304以后感觉像YSL52（星星色）的加深款，只是涂起来，薄涂可以和星星色媲美！但是感觉304比较适合皮肤白的妹纸（本人感觉有些挑皮），超显气色，夏天薄涂，冬天厚涂，但是不管怎样涂都要做好唇部打底,使用心得：口红看着不错，包装也精美，希望用的好，挺好的第三方，发货也快，京东商城的推荐值得信赖,使用心得：润润的，特别是味道好闻,使用心得：。。。。。。。。,使用心得：不知是否正品，颜色还可以，客服回复很慢很慢。体验一次京东购物，这个物流慢的也是可以，不知道为什么说京东物流很好。照片供大家鉴定。,使用心得：应该是正品吧，媳妇说颜色味道都不错,使用心得：包装的很好，颜色很好，五星好评,使用心得：很好！很满意！女朋友很喜欢！啦啦啦！


使用心得：第一次买，很不错,使用心得：喜欢喜欢????,使用心得：不错不错非常好，颜色很好看，还是很划算的一次购物,使用心得：不错，奢侈品就是不一样,使用心得：不错不错，应该是正品，送女朋友的，很喜欢,使用心得：给女朋友买的，今天收到了，还没用。包装有待提高！,使用心得：包装外观有些磨损  其他的都还好  拿来送人的,使用心得：原包装很渣，送到袋子可以用，挺好,使用心得：包装各方面看起来还不错  还没给女朋友用过所以还不知道好不好。,使用心得：一共六个字。
使用心得：客服很热情，推荐的都很满意，还有兰蔻香水，护手霜小礼物。来个香奈儿外包装手提袋就完美了。,使用心得：包装的还可以，店家很用心的用保鲜膜把口红还包了几层，是正品，口红香香的，而且超级漂亮的，很满意，下次就在这家店买了,使用心得：东西挺小巧的，没有用，不知道效果怎么样,使用心得：是正品，送对象的 ，对象很喜欢,使用心得：香奈儿这个名牌子应该来说是好用的，可是我收到这去款确不像我想的那么好，搽上嘴唇有一种厚厚的感觉挺不爽的真有点像假的，虽然我不怎么喜欢这款宝贝，但用这个牌子的其也宝贝都还足挺满意的比喻香水邂逅我就挺喜欢a,使用心得：送老婆的生日礼物，老婆很开心，谢谢店家送的礼物！非常好,使用心得：颜色感觉不是想象中的，但用了还是挺喜欢的，就是有点干，图片带美颜效果,使用心得：昨天下午三点多才下订单的，我都没有收到货，怎么显示交易成功？是我不小心按了确认了吗？还是怎么回事？我都没有收到货啊！崩溃！,使用心得：客服服务态度特别好，物流也快。口红很漂亮，还有好多赠品。,使用心得：送朋友的超级喜欢，而且还有礼品哟，送人大气美观





使用心得：非常好，滋润度也不错，颜色非常喜欢，卖的很火的一款颜色，很满意。,使用心得：好好好好好好好好好好好好好,使用心得：不好意思，评价晚了，口号颜色很正！很喜欢！谢谢卖家的小礼物！,使用心得：保湿时间长，不油腻，颜色也很满意，挺好,使用心得：滋润效果好，嘴唇不干了，还不掉色，挺好,使用心得：颜色很正，很滋润，不错的一款口红,使用心得：已到手 没去专柜验货 感觉应该是正品 很喜欢 丝绒偏干,使用心得：厉害了，非常快，很满意,使用心得：很好，她很喜欢，颜色恰当好处,使用心得：是我喜欢的颜色，之前一直担心有色差。我的担心是多余的，颜色跟图片一样很正
使用心得：包装简陋了点，上色后效果挺好看的，就是唇部靠里面一点的地方不容易上色,使用心得：东西不确定是不是正品，但是很喜欢，一次满意的购物。,使用心得：送小朋友的礼物，小朋友很满易的,使用心得：可以，老婆很喜欢,使用心得：不赖非常满意,使用心得：送朋友的 她很喜欢,使用心得：很不错的，产品哦，不过还没有试用不知道效果怎么样，等待女神使用后效果确认，相信她会喜欢的,使用心得：效果非常棒，效果特别棒，效果特别好，高端大气上档次，低调奢华有内涵,使用心得：很不错，    颜色也好看。,使用心得：效果蛮不错的，但包装不完整，总感觉哪里怪怪的



使用心得：好评 快递速度,使用心得：东西不错 老婆很喜欢,使用心得：没有用呢 不知道好不好,使用心得：假的，根本就转不回去，每次都要用嘴给顶回去。在专卖店买的就不会出现这个现象,使用心得：用起来很好  特别显白




使用心得：东西不错，有一点贵了，不过能接受。对于快递我受不了。虽然今天是2月14号你们比较忙。但也不能打电话不回吧！我打了好几个电话给快递员。一直没回音，就想等老婆下班送给她，硬是拖到吃晚饭。所以给快递一个中评！,使用心得：女朋友特别喜欢，颜色也非常好看,使用心得：现在才来评价，送给女朋友的，她说用着很好。,使用心得：好东西就要给好评，女朋友很喜欢,使用心得：快递没有想象中那么快,使用心得：好好好好好好好好好好,使用心得：超好看，和nars DV对比了一下，500更粉嫩一些，喜欢阿玛尼流畅的涂抹，很显色，而且不会显唇纹，即使嘴唇上有死皮也不会显出来，哑光质地真的很好看。最主要的是正品哦,使用心得：挺喜欢的，颜色好看哦！,使用心得：好评！！！！！,使用心得：朋友的女友很喜欢！！是正品！！！京东快递服务给力！！！！
使用心得：媳妇说不好用，颜色太淡,使用心得：比43号更衬肤色，不错,使用心得：给朋友买的 朋友很满意,使用心得：我感觉还是可以  我拆开研究了下才打开  嘿嘿  送人的,使用心得：虽然快递有点小失误，但总体上来看还可以，女朋友很喜欢,使用心得：物流超级快，质量也杠杠滴哦~,使用心得：早就想买了 没让我失望,使用心得：不错，发货速度挺快，应该是正品，比专卖店贵了一点，后来补发发票过来，这个不错！整体购物感觉不错,使用心得：口红虽然不知道怎么样，但是我很伤心。拿去送朋友朋友直接扔了她根本不在乎我,使用心得：啊哈，女朋友还是很喜欢的，包装也很漂亮。不错不错，下次换个号再买个。



